id,value
id_0,3.8054450328464426
id_1,14.804633687212542
id_2,18.237567347389376
id_3,5.433185218459766
id_4,20.320658877914596
id_5,16.40735217343056
id_6,17.894380037349475
id_7,23.830287631070373
id_8,13.13514294421167
id_9,46.33110602954078
id_10,9.023372607616196
id_11,7.292459490577604
id_12,49.342318497798125
id_13,40.762657241635445
id_14,15.720867391800972
id_15,8.836055380955539
id_16,24.0858588852312
id_17,51.60389161172836
id_18,-1.74205284803719
id_19,12.261741833519924
id_20,32.532465177668875
id_21,56.393112878054744
id_22,6.818796764332692
id_23,14.334105866960934
id_24,10.63119630782349
id_25,29.559311851255238
id_26,11.272842347168767
id_27,50.0258409571515
id_28,4.286797742196761
id_29,43.340886204633414
id_30,19.361609938821616
id_31,4.954580336845005
id_32,3.024020002415682
id_33,13.757139602896721
id_34,20.370445057067528
id_35,28.33573385989795
id_36,33.481248994648624
id_37,22.051837894526994
id_38,34.25029415434437
id_39,26.575742218931556
id_40,5.086889304335564
id_41,31.140871879046287
id_42,22.748137793811864
id_43,40.240404141055485
id_44,12.992131129387143
id_45,26.418277367183343
id_46,19.087621160253054
id_47,6.333680281670116
id_48,20.69796058983132
id_49,24.32566984227568
id_50,17.24711730674306
id_51,6.442785053260346
id_52,13.219393520991257
id_53,41.422014439948285
id_54,10.754537900777283
id_55,27.850948907232677
id_56,23.937402771572714
id_57,15.880924851855578
id_58,43.520402857327404
id_59,18.100887662970433
id_60,11.952043142929664
id_61,31.334331040073586
id_62,8.139395293554802
id_63,36.54658474287048
id_64,10.090375486427718
id_65,11.004626117908618
id_66,10.187944914526986
id_67,-0.9256055811302417
id_68,33.719432640507705
id_69,21.91408676380632
id_70,15.658775420844865
id_71,33.34701513874915
id_72,47.464930203247576
id_73,3.3761107480754156
id_74,13.175121876313309
id_75,1.0389111243230431
id_76,31.950385764056232
id_77,10.686469784943327
id_78,14.425963148947746
id_79,15.476802842849414
id_80,19.280829784257907
id_81,30.249348520442176
id_82,16.734373344314566
id_83,72.6877265157515
id_84,30.21673250771339
id_85,21.266749857941733
id_86,16.941139797207406
id_87,24.891053072934838
id_88,18.351869666646266
id_89,14.281622877371966
id_90,22.606724812790503
id_91,31.98696671632756
id_92,2.4542019977235405
id_93,28.96049944608508
